Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
master ,Thu Apr 16 00:00:00 CEST 2015, eliben, 20 ,1626 ,1773 ,91.71 ,https://coveralls.io/builds/2348953 ,92
master ,Thu Apr 16 00:00:00 CEST 2015, hayd, 20 ,1626 ,1773 ,91.71 ,https://coveralls.io/builds/2349489 ,93
master ,Thu Apr 16 00:00:00 CEST 2015, hayd, 20 ,1626 ,1773 ,91.71 ,https://coveralls.io/builds/2349526 ,94
master ,Thu Apr 16 00:00:00 CEST 2015, gwelymernans, 20 ,1632 ,1780 ,91.69 ,https://coveralls.io/builds/2358572 ,98
master ,Thu Apr 16 00:00:00 CEST 2015, gwelymernans, 20 ,1632 ,1780 ,91.69 ,https://coveralls.io/builds/2358808 ,99
master ,Fri Apr 17 00:00:00 CEST 2015, gwelymernans, 20 ,1632 ,1780 ,91.69 ,https://coveralls.io/builds/2359174 ,01
master ,Fri Apr 17 00:00:00 CEST 2015, hayd, 20 ,1639 ,1792 ,91.46 ,https://coveralls.io/builds/2367335 ,04
master ,Fri Apr 17 00:00:00 CEST 2015, sbc100, 20 ,1613 ,1760 ,91.65 ,https://coveralls.io/builds/2357931 ,95
master ,Fri Apr 17 00:00:00 CEST 2015, sbc100, 20 ,1638 ,1790 ,91.51 ,https://coveralls.io/builds/2357939 ,96
master ,Fri Apr 17 00:00:00 CEST 2015, gwelymernans, 20 ,1629 ,1776 ,91.72 ,https://coveralls.io/builds/2358497 ,97
master ,Sat Apr 18 00:00:00 CEST 2015, hayd, 20 ,1640 ,1793 ,91.47 ,https://coveralls.io/builds/2366804 ,03
master ,Sat Apr 18 00:00:00 CEST 2015, gwelymernans, 20 ,1639 ,1787 ,91.72 ,https://coveralls.io/builds/2367394 ,05
master ,Sat Apr 18 00:00:00 CEST 2015, gwelymernans, 20 ,1646 ,1799 ,91.5 ,https://coveralls.io/builds/2367399 ,06
master ,Sun Apr 19 00:00:00 CEST 2015, gwelymernans, 20 ,1652 ,1812 ,91.17 ,https://coveralls.io/builds/2370182 ,07
master ,Sun Apr 19 00:00:00 CEST 2015, gwelymernans, 20 ,1638 ,1812 ,90.4 ,https://coveralls.io/builds/2371575 ,08
v0.1.6 ,Sun Apr 19 00:00:00 CEST 2015, gwelymernans, 20 ,1638 ,1812 ,90.4 ,https://coveralls.io/builds/2371601 ,09
master ,Sun Apr 19 00:00:00 CEST 2015, gwelymernans, 20 ,1636 ,1808 ,90.49 ,https://coveralls.io/builds/2371762 ,11
master ,Sun Apr 19 00:00:00 CEST 2015, paetzke, 20 ,1650 ,1808 ,91.26 ,https://coveralls.io/builds/2371854 ,12
master ,Mon Apr 20 00:00:00 CEST 2015, gwelymernans, 20 ,1650 ,1808 ,91.26 ,https://coveralls.io/builds/2374663 ,15
master ,Mon Apr 20 00:00:00 CEST 2015, hayd, 20 ,1677 ,1808 ,92.75 ,https://coveralls.io/builds/2375623 ,16
master ,Mon Apr 20 00:00:00 CEST 2015, gwelymernans, 20 ,1677 ,1808 ,92.75 ,https://coveralls.io/builds/2380473 ,17
master ,Mon Apr 20 00:00:00 CEST 2015, hayd, 20 ,1677 ,1808 ,92.75 ,https://coveralls.io/builds/2380733 ,18
master ,Mon Apr 20 00:00:00 CEST 2015, gwelymernans, 20 ,1677 ,1808 ,92.75 ,https://coveralls.io/builds/2381028 ,19
master ,Mon Apr 20 00:00:00 CEST 2015, gwelymernans, 20 ,1682 ,1813 ,92.77 ,https://coveralls.io/builds/2384400 ,25
master ,Tue Apr 21 00:00:00 CEST 2015, hayd, 20 ,1677 ,1808 ,92.75 ,https://coveralls.io/builds/2383268 ,20
master ,Tue Apr 21 00:00:00 CEST 2015, gwelymernans, 20 ,1671 ,1802 ,92.73 ,https://coveralls.io/builds/2383936 ,21
master ,Tue Apr 21 00:00:00 CEST 2015, hayd, 20 ,1671 ,1802 ,92.73 ,https://coveralls.io/builds/2384028 ,22
master ,Tue Apr 21 00:00:00 CEST 2015, gwelymernans, 20 ,1671 ,1802 ,92.73 ,https://coveralls.io/builds/2384338 ,24
master ,Tue Apr 21 00:00:00 CEST 2015, gwelymernans, 20 ,1682 ,1813 ,92.77 ,https://coveralls.io/builds/2384568 ,26
master ,Tue Apr 21 00:00:00 CEST 2015, petedmarsh, 20 ,1682 ,1813 ,92.77 ,https://coveralls.io/builds/2385861 ,27
master ,Tue Apr 21 00:00:00 CEST 2015, petedmarsh, 20 ,1669 ,1819 ,91.75 ,https://coveralls.io/builds/2387481 ,28
master ,Tue Apr 21 00:00:00 CEST 2015, petedmarsh, 20 ,1669 ,1819 ,91.75 ,https://coveralls.io/builds/2387559 ,29
master ,Tue Apr 21 00:00:00 CEST 2015, petedmarsh, 20 ,1683 ,1819 ,92.52 ,https://coveralls.io/builds/2387763 ,30
master ,Tue Apr 21 00:00:00 CEST 2015, petedmarsh, 20 ,1684 ,1819 ,92.58 ,https://coveralls.io/builds/2391210 ,31
master ,Tue Apr 21 00:00:00 CEST 2015, eliben, 20 ,1682 ,1813 ,92.77 ,https://coveralls.io/builds/2392864 ,32
master ,Wed Apr 22 00:00:00 CEST 2015, hayd, 20 ,1687 ,1818 ,92.79 ,https://coveralls.io/builds/2393091 ,33
master ,Wed Apr 22 00:00:00 CEST 2015, gwelymernans, 20 ,1673 ,1818 ,92.02 ,https://coveralls.io/builds/2399269 ,34
master ,Wed Apr 22 00:00:00 CEST 2015, hayd, 20 ,1670 ,1814 ,92.06 ,https://coveralls.io/builds/2400024 ,35
master ,Thu Apr 23 00:00:00 CEST 2015, gwelymernans, 20 ,1687 ,1818 ,92.79 ,https://coveralls.io/builds/2412516 ,36
master ,Fri Apr 24 00:00:00 CEST 2015, hayd, 20 ,1686 ,1815 ,92.89 ,https://coveralls.io/builds/2412879 ,37
master ,Fri Apr 24 00:00:00 CEST 2015, felipevolpone, 20 ,1688 ,1820 ,92.75 ,https://coveralls.io/builds/2416148 ,38
master ,Fri Apr 24 00:00:00 CEST 2015, felipevolpone, 20 ,1689 ,1820 ,92.8 ,https://coveralls.io/builds/2416178 ,39
master ,Fri Apr 24 00:00:00 CEST 2015, felipevolpone, 20 ,1689 ,1820 ,92.8 ,https://coveralls.io/builds/2416219 ,40
master ,Fri Apr 24 00:00:00 CEST 2015, gwelymernans, 20 ,1673 ,1818 ,92.02 ,https://coveralls.io/builds/2417536 ,41
master ,Fri Apr 24 00:00:00 CEST 2015, gwelymernans, 20 ,1686 ,1815 ,92.89 ,https://coveralls.io/builds/2418260 ,42
master ,Fri Apr 24 00:00:00 CEST 2015, gwelymernans, 20 ,1674 ,1829 ,91.53 ,https://coveralls.io/builds/2419583 ,43
master ,Fri Apr 24 00:00:00 CEST 2015, gwelymernans, 20 ,1674 ,1829 ,91.53 ,https://coveralls.io/builds/2420900 ,47
master ,Sat Apr 25 00:00:00 CEST 2015, gwelymernans, 20 ,1674 ,1829 ,91.53 ,https://coveralls.io/builds/2420850 ,44
master ,Sat Apr 25 00:00:00 CEST 2015, gwelymernans, 20 ,1688 ,1829 ,92.29 ,https://coveralls.io/builds/2420877 ,45
v0.1.7 ,Sat Apr 25 00:00:00 CEST 2015, gwelymernans, 20 ,1688 ,1829 ,92.29 ,https://coveralls.io/builds/2420880 ,46
master ,Sat Apr 25 00:00:00 CEST 2015, gwelymernans, 20 ,1688 ,1833 ,92.09 ,https://coveralls.io/builds/2420907 ,48
master ,Sat Apr 25 00:00:00 CEST 2015, gwelymernans, 20 ,1688 ,1833 ,92.09 ,https://coveralls.io/builds/2420910 ,49
v0.1.7 ,Sat Apr 25 00:00:00 CEST 2015, gwelymernans, 20 ,1688 ,1833 ,92.09 ,https://coveralls.io/builds/2420912 ,50
master ,Mon Apr 27 00:00:00 CEST 2015, sbc100, 20 ,1688 ,1833 ,92.09 ,https://coveralls.io/builds/2433543 ,55
master ,Mon Apr 27 00:00:00 CEST 2015, sbc100, 20 ,1688 ,1837 ,91.89 ,https://coveralls.io/builds/2434186 ,56
master ,Mon Apr 27 00:00:00 CEST 2015, sbc100, 20 ,1706 ,1853 ,92.07 ,https://coveralls.io/builds/2435680 ,57
master ,Tue Apr 28 00:00:00 CEST 2015, eliben, 20 ,1688 ,1833 ,92.09 ,https://coveralls.io/builds/2440397 ,58
master ,Tue Apr 28 00:00:00 CEST 2015, eliben, 20 ,1706 ,1853 ,92.07 ,https://coveralls.io/builds/2440427 ,59
master ,Tue Apr 28 00:00:00 CEST 2015, eliben, 20 ,1706 ,1853 ,92.07 ,https://coveralls.io/builds/2440450 ,60
master ,Tue Apr 28 00:00:00 CEST 2015, eliben, 20 ,1706 ,1853 ,92.07 ,https://coveralls.io/builds/2440454 ,61
master ,Tue Apr 28 00:00:00 CEST 2015, eliben, 20 ,1716 ,1853 ,92.61 ,https://coveralls.io/builds/2440719 ,62
master ,Tue Apr 28 00:00:00 CEST 2015, sbc100, 21 ,1721 ,1857 ,92.68 ,https://coveralls.io/builds/2445948 ,63
master ,Thu Apr 30 00:00:00 CEST 2015, sbc100, 21 ,1707 ,1843 ,92.62 ,https://coveralls.io/builds/2460439 ,65
master ,Thu Apr 30 00:00:00 CEST 2015, sbc100, 21 ,1721 ,1857 ,92.68 ,https://coveralls.io/builds/2460471 ,66
master ,Thu Apr 30 00:00:00 CEST 2015, eliben, 21 ,1721 ,1857 ,92.68 ,https://coveralls.io/builds/2462356 ,67
master ,Sat May 02 00:00:00 CEST 2015, eliben, 21 ,1721 ,1857 ,92.68 ,https://coveralls.io/builds/2471852 ,68
master ,Sat May 02 00:00:00 CEST 2015, eliben, 21 ,1714 ,1857 ,92.3 ,https://coveralls.io/builds/2471895 ,69
master ,Sat May 02 00:00:00 CEST 2015, eliben, 21 ,1741 ,1857 ,93.75 ,https://coveralls.io/builds/2471931 ,70
master ,Sat May 02 00:00:00 CEST 2015, eliben, 21 ,1760 ,1857 ,94.78 ,https://coveralls.io/builds/2472024 ,71
master ,Sat May 02 00:00:00 CEST 2015, eliben, 21 ,1768 ,1857 ,95.21 ,https://coveralls.io/builds/2472042 ,72
master ,Sat May 02 00:00:00 CEST 2015, gwelymernans, 21 ,1768 ,1857 ,95.21 ,https://coveralls.io/builds/2474041 ,73
master ,Sun May 03 00:00:00 CEST 2015, gwelymernans, 21 ,1768 ,1857 ,95.21 ,https://coveralls.io/builds/2474203 ,74
v0.1.8 ,Sun May 03 00:00:00 CEST 2015, gwelymernans, 21 ,1768 ,1857 ,95.21 ,https://coveralls.io/builds/2477818 ,77
master ,Sun May 03 00:00:00 CEST 2015, gwelymernans, 21 ,1771 ,1856 ,95.42 ,https://coveralls.io/builds/2477949 ,78
master ,Mon May 04 00:00:00 CEST 2015, gwelymernans, 21 ,1771 ,1860 ,95.22 ,https://coveralls.io/builds/2477761 ,75
master ,Mon May 04 00:00:00 CEST 2015, gwelymernans, 21 ,1771 ,1860 ,95.22 ,https://coveralls.io/builds/2477793 ,76
master ,Mon May 04 00:00:00 CEST 2015, gwelymernans, 21 ,1785 ,1870 ,95.45 ,https://coveralls.io/builds/2479392 ,79
master ,Mon May 04 00:00:00 CEST 2015, gwelymernans, 21 ,1773 ,1872 ,94.71 ,https://coveralls.io/builds/2482722 ,80
master ,Mon May 04 00:00:00 CEST 2015, gwelymernans, 21 ,1787 ,1872 ,95.46 ,https://coveralls.io/builds/2483376 ,81
master ,Wed May 06 00:00:00 CEST 2015, wklken, 21 ,1790 ,1876 ,95.42 ,https://coveralls.io/builds/2501661 ,82
master ,Sun May 17 00:00:00 CEST 2015, wklken, 21 ,1776 ,1877 ,94.62 ,https://coveralls.io/builds/2581661 ,83
master ,Sun May 17 00:00:00 CEST 2015, gwelymernans, 21 ,1787 ,1872 ,95.46 ,https://coveralls.io/builds/2584451 ,84
master ,Sun May 17 00:00:00 CEST 2015, wklken, 21 ,1779 ,1880 ,94.63 ,https://coveralls.io/builds/2586105 ,85
master ,Mon May 18 00:00:00 CEST 2015, gwelymernans, 21 ,1787 ,1872 ,95.46 ,https://coveralls.io/builds/2586641 ,86
master ,Mon May 18 00:00:00 CEST 2015, gwelymernans, 21 ,1787 ,1872 ,95.46 ,https://coveralls.io/builds/2586702 ,87
v0.1.9 ,Mon May 18 00:00:00 CEST 2015, gwelymernans, 21 ,1772 ,1872 ,94.66 ,https://coveralls.io/builds/2586703 ,88
master ,Thu May 21 00:00:00 CEST 2015, gwelymernans, 21 ,1774 ,1873 ,94.71 ,https://coveralls.io/builds/2616308 ,89
master ,Fri May 22 00:00:00 CEST 2015, gwelymernans, 21 ,1784 ,1868 ,95.5 ,https://coveralls.io/builds/2630353 ,91
master ,Mon May 25 00:00:00 CEST 2015, felipevolpone, 21 ,1786 ,1870 ,95.51 ,https://coveralls.io/builds/2645951 ,92
master ,Tue May 26 00:00:00 CEST 2015, gwelymernans, 21 ,1771 ,1870 ,94.71 ,https://coveralls.io/builds/2647707 ,93
master ,Wed May 27 00:00:00 CEST 2015, felipevolpone, 21 ,1773 ,1873 ,94.66 ,https://coveralls.io/builds/2660193 ,94
master ,Fri May 29 00:00:00 CEST 2015, Ecno92, 21 ,1786 ,1870 ,95.51 ,https://coveralls.io/builds/2680649 ,95
master ,Fri May 29 00:00:00 CEST 2015, gwelymernans, 21 ,1786 ,1870 ,95.51 ,https://coveralls.io/builds/2684937 ,96
master ,Sat May 30 00:00:00 CEST 2015, gwelymernans, 21 ,1786 ,1870 ,95.51 ,https://coveralls.io/builds/2690604 ,97
v0.2.0 ,Sat May 30 00:00:00 CEST 2015, gwelymernans, 21 ,1771 ,1870 ,94.71 ,https://coveralls.io/builds/2690605 ,98
