Branche ,Date, Committer, #Files ,Cov Lines ,Tot lines ,Percentage ,Url ,Local ref
 master ,Thu Aug 10 00:00:00 CEST 2017, by vlm, 57 ,9313 ,13032 ,71.46 ,https://coveralls.io/builds/12786871 ,25
 master ,Thu Aug 10 00:00:00 CEST 2017, by vlm, 57 ,9483 ,13217 ,71.75 ,https://coveralls.io/builds/12787158 ,26
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 57 ,9490 ,13222 ,71.77 ,https://coveralls.io/builds/12788683 ,27
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 57 ,9168 ,13223 ,69.33 ,https://coveralls.io/builds/12788881 ,28
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 34 ,5132 ,6683 ,76.79 ,https://coveralls.io/builds/12791905 ,29
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 57 ,9224 ,13285 ,69.43 ,https://coveralls.io/builds/12791931 ,30
 master ,Fri Aug 11 00:00:00 CEST 2017, by vlm, 57 ,9224 ,13285 ,69.43 ,https://coveralls.io/builds/12792580 ,31
 master ,Fri Aug 11 00:00:00 CEST 2017, by web-flow, 57 ,9224 ,13285 ,69.43 ,https://coveralls.io/builds/12798537 ,32
 master ,Fri Aug 11 00:00:00 CEST 2017, by web-flow, 57 ,9224 ,13285 ,69.43 ,https://coveralls.io/builds/12799015 ,33
 master ,Sun Aug 13 00:00:00 CEST 2017, by vlm, 57 ,9547 ,13285 ,71.86 ,https://coveralls.io/builds/12811946 ,34
 master ,Sun Aug 13 00:00:00 CEST 2017, by vlm, 57 ,9224 ,13285 ,69.43 ,https://coveralls.io/builds/12811963 ,35
 master ,Sun Aug 13 00:00:00 CEST 2017, by vlm, 57 ,9547 ,13285 ,71.86 ,https://coveralls.io/builds/12811991 ,36
 master ,Sun Aug 13 00:00:00 CEST 2017, by web-flow, 57 ,9553 ,13291 ,71.88 ,https://coveralls.io/builds/12812036 ,37
 master ,Sun Aug 13 00:00:00 CEST 2017, by web-flow, 57 ,9547 ,13285 ,71.86 ,https://coveralls.io/builds/12813926 ,38
 master ,Wed Aug 16 00:00:00 CEST 2017, by web-flow, 57 ,9547 ,13285 ,71.86 ,https://coveralls.io/builds/12866039 ,39
 master ,Wed Aug 16 00:00:00 CEST 2017, by web-flow, 57 ,9547 ,13285 ,71.86 ,https://coveralls.io/builds/12868502 ,40
 master ,Thu Aug 17 00:00:00 CEST 2017, by web-flow, 57 ,9552 ,13285 ,71.9 ,https://coveralls.io/builds/12884060 ,41
 master ,Fri Aug 18 00:00:00 CEST 2017, by web-flow, 57 ,9547 ,13285 ,71.86 ,https://coveralls.io/builds/12897749 ,42
 master ,Sat Aug 19 00:00:00 CEST 2017, by web-flow, 34 ,5132 ,6683 ,76.79 ,https://coveralls.io/builds/12907768 ,43
